file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M113920577,"File:Foto H. Goude 4 - Lux; foto-tijdschrift, jrg 15, 1904, no 279-302, 1904.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920575,"File:Foto H. Goude 6 - Lux; foto-tijdschrift, jrg 15, 1904, no 279-302, 1904.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920567,"File:Foto H. Goude 6 - Lux; foto-tijdschrift, jrg 16, 1905, no 303-326, 1905.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920564,"File:Foto H. Goute 3 - Op de hoogte jrg 2, 1905, 05-11-1905.jpg",,,,,,,,Op de hoogte; Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920583,"File:Foto helena goude, 's-gravenhage.gif",,,,,,,,Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M182806018,"File:Foto-chemigrafie naar een houtgravure, 1888 - BBB-1128.jpg",,"Foto-chemigrafie naar een houtgravure, 1888",,,,,,Beeldbank Nederlandse Boekgeschiedenis; Printing in the Netherlands,,
https://commons.wikimedia.org/entity/M182806037,"File:Foto-chemigrafie naar een lithografie, 1888 - BBB-1129.jpg",,"Foto-chemigrafie naar een lithografie, 1888",,,,,,Beeldbank Nederlandse Boekgeschiedenis; Printing in the Netherlands,,
https://commons.wikimedia.org/entity/M182806065,"File:Foto-chemigrafie naar een staalgravure, 1888 - BBB-1130.jpg",,"Foto-chemigrafie naar een staalgravure, 1888",,,,,,Beeldbank Nederlandse Boekgeschiedenis; Printing in the Netherlands,,
https://commons.wikimedia.org/entity/M126745651,File:Heimans&Thijsse1907VanVlindersBloemenEnVogels3rdeditionPhotoThijsse.png,,,,,,,,Van Vlinders Bloemen En Vogels,,
https://commons.wikimedia.org/entity/M182805301,"File:Het maken van een cliché, 1908 - BBB-967.jpg",,"Het maken van een cliché, 1908",,,,,,Beeldbank Nederlandse Boekgeschiedenis; Printing in the Netherlands,,
https://commons.wikimedia.org/entity/M124739904,File:Het Parool vol 005 no 294 De mode ontdekte Mondriaan ill 2 Een voorbeeld van op Mondriaan's werk geïnspireerde mode in Amerika.jpg,,,,,,,,Het Parool; Works inspired by Piet Mondriaan,,
https://commons.wikimedia.org/entity/M127044174,"File:Het Vaderland vol 068 1936-05-14 Avondblad Frans van Mieris, De wijnschenker.jpg",,,,,,,,Het Vaderland; Works after Frans van Mieris (I),,
https://commons.wikimedia.org/entity/M90002505,File:Hierder boer en boerin in begrafeniskostuum.jpg,,,,,,,,Hierden; Traditional clothing of the Netherlands,,
https://commons.wikimedia.org/entity/M123807799,"File:Ick stae hier in Figuer, voor t Hof van Cornuaille - KONB16-533880475 - Prent 1 van 1.jpg",,,,,,,,Broadsheet prints from Koninklijke Bibliotheek; Broadsheet prints from Koninklijke Bibliotheek - Portraits,,
