file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M83032249,File:Onze Afgevaardigden (1901) - Johannes Krap.jpg,Portrait of Johannes Krap (1858-1933),Portret van Johannes Krap (1858-1933),Q14945097,Johannes Krap,Dutch person (1858-1933),Johannes Krap,Nederlands politicus (1858-1933),Johannes Krap; Onze Afgevaardigden (1901),Q14945097,Johannes Krap
https://commons.wikimedia.org/entity/M83032059,File:Onze Afgevaardigden (1901) - Johannes Tak van Poortvliet.jpg,"Portrait of Johannes Tak van Poortvliet, Dutch politician (1839-1904)","Portret van Johannes Tak van Poortvliet, Nederlands politicus (1839-1904)",Q2687043,Johannes Tak van Poortvliet,Dutch politician (1839-1904),Johannes Tak van Poortvliet,Nederlands politicus (1839-1904),Joannes Pieter Roetert Tak van Poortvliet; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032450,File:Onze Afgevaardigden (1901) - Johannes Theodoor de Visser.jpg,"Portrait of Johannes Theodoor de Visser, Dutch politician (1857-1932)","Portret van Johannes Theodoor de Visser, Nederlands politicus (1857-1932)",Q1698487,Johannes Theodoor de Visser,Dutch politician (1857-1932),Johannes Theodoor de Visser,Nederlands politicus (1857-1932),Johannes Theodoor de Visser; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032449,File:Onze Afgevaardigden (1901) - Joor Bastiaan Verheij.jpg,"Portrait of Joor Bastiaan Verheij, Dutch teacher and politician (1851-1913)","Portret van Joor Bastiaan Verheij, Nederlands politicus (1851-1913)",Q2133859,Joor Bastiaan Verheij,Dutch teacher and politician (1851-1913),Joor Bastiaan Verheij,Nederlands politicus (1851-1913),Joor Bastiaan Verheij; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032295,File:Onze Afgevaardigden (1901) - Joseph Mathias Maria Hubertus Merckelbach.jpg,"Portrait of Joseph Mathias Maria Hubertus Merckelbach, Dutch politician (1861-1926)","Portret van Joseph Mathias Maria Hubertus Merckelbach, Nederlands politicus (1861-1926)",Q14633029,Joseph Mathias Maria Hubertus Merckelbach,Dutch politician (1861-1926),Joseph Mathias Maria Hubertus Merckelbach,Nederlands politicus (1861-1926),Joseph Mathias Maria Hubertus Merckelbach; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032335,File:Onze Afgevaardigden (1901) - Jozef Jan Pompe van Meerdervoort.jpg,"Portrait of Jozef Jan Pompe van Meerdervoort, politician (1837-1918)","Portret van Jozef Jan Pompe van Meerdervoort, politicus (1837-1918)",Q2803238,Jozef Jan Pompe van Meerdervoort,politician (1837-1918),Jozef Jan Pompe van Meerdervoort,politicus (1837-1918),Jozef Jan Pompe van Meerdervoort; Onze Afgevaardigden (1901),Q2803238,Jozef Jan Pompe van Meerdervoort
https://commons.wikimedia.org/entity/M83031968,File:Onze Afgevaardigden (1901) - Karel Antonie Godin de Beaufort.jpg,"Portrait of Karel Antonie Godin de Beaufort, Dutch politician (1850-1921)","Portret van Karel Antonie Godin de Beaufort, Nederlands politicus (1850-1921)",Q2597159,Karel Antonie Godin de Beaufort,Dutch politician (1850-1921),Karel Antonie Godin de Beaufort,Nederlands politicus (1850-1921),Karel Antonie Godin de Beaufort; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032363,File:Onze Afgevaardigden (1901) - Karel Raymakers.jpg,"Portrait of Karel Raymakers, politician (1851-1911)","Portret van Karel Raymakers, Eerste Kamerlid van 23 december 1907 tot 3 januari 1911 Algemeene Bond (1851-1911)",Q20734890,Karel Raymakers,politician (1851-1911),Karel Raymakers,Eerste Kamerlid van 23 december 1907 tot 3 januari 1911 Algemeene Bond,Karel Raymakers; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032108,File:Onze Afgevaardigden (1901) - Klaas de Boer Czn..jpg,"Portrait of Klaas de Boer Czn, Dutch politician (1852-1936)","Portret van Klaas de Boer Czn, Nederlands politicus (1852-1936)",Q2127281,Klaas de Boer Czn.,Dutch politician (1852-1936),Klaas de Boer Czn.,Nederlands politicus (1852-1936),Klaas de Boer Czn.; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032256,File:Onze Afgevaardigden (1901) - Kornelis ter Laan.jpg,"Portrait of Kornelis ter Laan, Dutch teacher and politician (1871-1963)","Portret van Kornelis ter Laan, Nederlands politicus (1871-1963)",Q2183315,Kornelis ter Laan,Dutch teacher and politician (1871-1963),Kornelis ter Laan,Nederlands politicus (1871-1963),Kornelis ter Laan; Onze Afgevaardigden (1901),,
